rows,cols,cpu_row_ms,cpu_col_ms,gpu_ms,speedup_vs_fastest_cpu
16,512,0.022900,0.024500,2.502200,0.009152
32,512,0.042500,0.036200,0.667900,0.054200
64,512,0.063200,0.054900,0.798100,0.068788
128,512,0.101200,0.159200,1.061000,0.095382
256,512,0.182600,0.213900,1.381900,0.132137
512,512,0.321800,0.382400,0.898400,0.358192
1024,512,0.673600,1.574500,0.827600,0.813920
2048,512,2.084500,3.242000,2.449000,0.851164
4096,512,2.511300,6.212200,6.327000,0.396918
8192,512,3.528500,24.177600,7.590200,0.464876
16384,512,6.377200,76.709900,11.937400,0.534220
32768,512,14.036500,185.260100,71.722500,0.195706
65536,512,27.690400,375.936000,66.609300,0.415714
131072,512,51.275900,780.139300,5.845900,8.771258
262144,512,98.940500,1622.857000,7.496700,13.197874
524288,512,311.431700,3443.203500,12.269700,25.382177
1048576,512,408.643300,6545.651100,24.075200,16.973620
1048576,2,6.207200,2.675200,5.469000,0.489157
1048576,4,10.870200,7.492500,6.182900,1.211810
1048576,8,10.667600,18.347200,5.582200,1.911003
1048576,16,16.227400,73.425600,8.702700,1.864640
1048576,32,48.076800,292.782700,15.341600,3.133754
1048576,64,82.926200,496.359300,4.186600,19.807529
1048576,128,97.181600,1204.606700,23.299000,4.171063
1048576,256,199.682400,3137.571700,12.441200,16.050092
1048576,512,387.804500,6551.282900,23.975600,16.174965
